event_id,cap,actual_recalled,candidate_count,split
TR_347,80,1,15,train
TR_348,20,1,20,train
TR_348,40,1,40,train
TR_348,80,1,42,train
TR_349,20,1,20,train
TR_349,40,1,40,train
TR_349,80,1,70,train
TR_350,20,1,20,train
TR_350,40,1,40,train
TR_350,80,1,55,train
TR_351,20,1,15,train
TR_351,40,1,15,train
TR_351,80,1,15,train
TR_352,20,1,20,train
TR_352,40,1,40,train
TR_352,80,1,55,train
TR_353,20,1,20,train
TR_353,40,1,40,train
TR_353,80,1,48,train
TR_354,20,1,20,train
TR_354,40,1,40,train
TR_354,80,1,40,train
TR_355,20,1,20,train
TR_355,40,1,40,train
TR_355,80,1,80,train
TR_356,20,1,20,train
TR_356,40,1,40,train
TR_356,80,1,52,train
TR_357,20,1,20,train
TR_357,40,1,40,train
TR_357,80,1,76,train
TR_358,20,0,20,train
TR_358,40,1,40,train
TR_358,80,1,80,train
TR_359,20,0,20,train
TR_359,40,1,40,train
TR_359,80,1,80,train
TR_360,20,0,20,train
TR_360,40,1,40,train
TR_360,80,1,80,train
TR_361,20,1,6,train
TR_361,40,1,6,train
TR_361,80,1,6,train
TR_362,20,1,20,train
