rep,model,events,candidate_recall,top1_end_to_end,top3_end_to_end,top5_end_to_end,mrr_end_to_end,conditional_top1,conditional_top5,habit_change_events,change_precision,change_recall,change_f1
70,shuffle,23296,0.9843320741758241,0.22518887362637363,0.5317651098901099,0.6952695741758241,0.42432068233248404,0.2287732763507915,0.7063364005058654,14960,0.8157743235463443,0.9785911602209945,0.889795918367347
71,shuffle,23296,0.9843320741758241,0.2240728021978022,0.5367015796703297,0.6971583104395604,0.4249960031721547,0.22763944005930836,0.70825520038376,14960,0.8161225370343737,0.9797133977900553,0.890466849744998
72,shuffle,23296,0.9843320741758241,0.22145432692307693,0.5349845467032966,0.6979309752747253,0.4228350234610492,0.22497928568313635,0.7090401639701713,14960,0.8139801101810117,0.9821305248618785,0.8901842650913501
73,shuffle,23296,0.9843320741758241,0.22179773351648352,0.5314646291208791,0.6973729395604396,0.4218811015902335,0.2253281583882081,0.7084732458244298,14960,0.8157875852170793,0.981353591160221,0.8909440025079353
74,shuffle,23296,0.9843320741758241,0.22278502747252749,0.528073489010989,0.6944969093406593,0.4216701361529597,0.22633116741528936,0.705551436919454,14960,0.8161125870611043,0.9811809392265194,0.8910665987221199
75,shuffle,23296,0.9843320741758241,0.22321428571428573,0.5318080357142857,0.6980168269230769,0.42321565703510683,0.22676725829662903,0.7091273821464393,14960,0.8148785207482262,0.9815262430939227,0.8904726475310334
76,shuffle,23296,0.9843320741758241,0.22660542582417584,0.5391483516483516,0.6972870879120879,0.42610257022750997,0.23021237625921243,0.7083860276481618,14960,0.818705035971223,0.982389502762431,0.8931094019777115
77,shuffle,23296,0.9843320741758241,0.2210679945054945,0.5297046703296703,0.6949690934065934,0.4214580145359117,0.22458680388993066,0.7060311368889276,14960,0.8147829207032652,0.9801450276243094,0.8898467808299698
78,shuffle,23296,0.9843320741758241,0.22003777472527472,0.5279876373626373,0.6958276098901099,0.42051578614162016,0.22354018577471546,0.706903318651607,14960,0.8137669221402478,0.9807493093922652,0.8894891368173811
79,shuffle,23296,0.9843320741758241,0.22467376373626374,0.5348557692307693,0.6984031593406593,0.4252595740854196,0.2282499672931839,0.7095198639396451,14960,0.8197619906238731,0.9811809392265194,0.8932374553027624
80,shuffle,23296,0.9843320741758241,0.22145432692307693,0.5304344093406593,0.6949690934065934,0.4213961233414916,0.22497928568313635,0.7060311368889276,14960,0.8146925891383887,0.9803176795580111,0.8898640441954315
81,shuffle,23296,0.9843320741758241,0.2251459478021978,0.5272149725274725,0.6954412774725275,0.42308562992870496,0.22872966726265753,0.7065108368584013,14960,0.8152870830631799,0.9769509668508287,0.8888278028666797
82,shuffle,23296,0.9843320741758241,0.2242445054945055,0.5304344093406593,0.6961710164835165,0.4231903595743247,0.22781387641184422,0.7072521913566787,14960,0.8177956950543518,0.9806629834254144,0.8918547595682041
83,shuffle,23296,0.9843320741758241,0.22355769230769232,0.5303485576923077,0.6947973901098901,0.42341535170211575,0.22711613100170075,0.7058567005363918,14960,0.8162678738233815,0.9806629834254144,0.8909454531194855
84,shuffle,23296,0.9843320741758241,0.22381524725274726,0.5310782967032966,0.6965144230769231,0.42281057772159086,0.22737778553050456,0.7076010640617505,14960,0.814018691588785,0.9774689226519337,0.8882874401820036
85,shuffle,23296,0.9843320741758241,0.22536057692307693,0.5302197802197802,0.6965144230769231,0.4243327115566749,0.22894771270332737,0.7076010640617505,14960,0.8155905851867847,0.9781595303867403,0.8895081838521018
86,shuffle,23296,0.9843320741758241,0.2262190934065934,0.5332675137362637,0.6987036401098901,0.42494733623765074,0.2298198944660067,0.7098251275565828,14960,0.8178155130234566,0.9811809392265194,0.8920806844046778
87,shuffle,23296,0.9843320741758241,0.2245879120879121,0.5274725274725275,0.6966432005494505,0.4238262373809641,0.22816274911691597,0.7077318913261523,14960,0.8143000429861011,0.9811809392265194,0.8899851225432621
88,shuffle,23296,0.9843320741758241,0.22342891483516483,0.5324089972527473,0.699476304945055,0.42317649168733745,0.22698530373729886,0.7106100911429942,14960,0.8181425174724404,0.9802313535911602,0.8918823390802341
89,shuffle,23296,0.9843320741758241,0.22450206043956045,0.5300480769230769,0.6931662087912088,0.42347941858590604,0.22807553094064803,0.704199555187301,14960,0.8149659863945579,0.9824758287292817,0.890915495714118
90,shuffle,23296,0.9843320741758241,0.2249742445054945,0.5340401785714286,0.7003777472527473,0.42528470752905234,0.22855523091012167,0.7115258819938075,14960,0.8178548305877275,0.9814399171270718,0.8922111045713165
91,shuffle,23296,0.9843320741758241,0.22583276098901098,0.5331816620879121,0.6988753434065934,0.425065726653372,0.229427412672801,0.7099995639091187,14960,0.8173312221102634,0.9803176795580111,0.8914357484888924
92,shuffle,23296,0.9843320741758241,0.22201236263736263,0.5271720467032966,0.6963427197802198,0.42185352109462204,0.22554620382887794,0.7074266277092146,14960,0.8138618119266054,0.9802313535911602,0.8893327067669173
93,shuffle,23296,0.9843320741758241,0.22609031593406592,0.5329241071428571,0.6952695741758241,0.42417795701554634,0.2296890672016048,0.7063364005058654,14960,0.8170381020848311,0.9810946132596685,0.8915823330979838
94,shuffle,23296,0.9843320741758241,0.22875171703296704,0.5345123626373627,0.6987036401098901,0.42717356748422863,0.23239283066591077,0.7098251275565828,14960,0.8189344852411807,0.9819578729281768,0.893067441312711
95,shuffle,23296,0.9843320741758241,0.2224845467032967,0.5295758928571429,0.6952266483516484,0.4222068321685437,0.22602590379835158,0.7062927914177315,14960,0.8160143626570916,0.9809219613259669,0.8909012505390255
96,shuffle,23296,0.9843320741758241,0.2240728021978022,0.5346840659340659,0.7000772664835165,0.424594325271509,0.22763944005930836,0.7112206183768698,14960,0.8175748438509585,0.9830801104972375,0.8927213577391918
97,shuffle,23296,0.9843320741758241,0.2249313186813187,0.5292754120879121,0.6937671703296703,0.42339615247015056,0.2285116218219877,0.7048100824211766,14960,0.8167181772443038,0.9809219613259669,0.8913205475153939
98,shuffle,23296,0.9843320741758241,0.22042410714285715,0.5285885989010989,0.6956559065934066,0.42084907439138336,0.22393266756792116,0.7067288822990712,14960,0.8154343144292893,0.9805766574585635,0.8904131065297484
99,shuffle,23296,0.9843320741758241,0.22488839285714285,0.5314217032967034,0.6958705357142857,0.42386557258161645,0.22846801273385373,0.706946927739741,14960,0.8191320645905421,0.9809219613259669,0.8927561282212445
